pitch_id,pitcher_id,pa_of_inning,pitch_of_pa,inning,outs,balls,strikes,batter_side,pitcher_throws,pitch_type,pitch_call,rel_speed,spin_rate,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,strike_prob,runner_on_first_id,runner_on_second_id,runner_on_third_id,post_runner_on_first_id,post_runner_on_second_id,post_runner_on_third_id,hit_type,play_result,direction,exit_speed,angle,distance,bearing,venue
586722a7-f889-4dc8-9336-125c423ad283,player_a,7,1,4,1,0,0.0,left,right,slider,ball_called,84.940373,2466.613588,7:45,5.5158510000000005,2.090213,5.604711,-38.68166,-0.199793,-10.641214,3.28817,0.974897,0.2664787769317627,,686659.0,687588.0,,686659.0,687588.0,,,,,,,,The Diamond
68511e45-1771-456f-b48c-d1840bd389a7,player_b,5,4,5,2,1,2.0,right,left,four_seam,foul_ball,95.29395276139165,2243.837727641111,10:30,5.687734361503595,-2.3238252241531434,5.77031215177722,-15.70797380025828,13.09147822745416,-7.5387975854427705,2.9980106131744986,-1.0539781294991508,0.22789184749126434,605504.0,,683021.0,605504.0,,683021.0,,foul_ball,172.17658231479663,82.07632760038342,8.877512441860526,136.0301307572018,172.04116388416313,Smith's Ballpark
47cf72ee-0f02-4360-8b9b-5d57c4dc0a20,player_a,4,1,4,2,0,0.0,right,right,four_seam,ball_called,93.075273,2548.295192,1:00,5.451324,1.858601,5.858047,-22.994684,9.217693,2.4899,3.583046,0.131372,0.12583279609680176,,,,,,,,,,,,,,UPMC Park
6e78b36a-113e-4d51-9465-f7b3cafa740d,player_b,5,5,6,2,3,1.0,right,left,changeup,ball_called,85.24943077604256,2140.631084485017,9:30,5.284211670659438,-2.556833141772795,5.6341184732589,-34.39192881556566,3.6843733974816057,-18.476094394420038,3.1864190643725046,-2.1527053776061242,0.0012252540327608585,666150.0,645444.0,,671083.0,666150.0,645444.0,,,,,,,,Sutter Health Park
b65aedd1-e2ee-4d15-9da3-f298706e14d7,player_a,3,2,5,1,0,1.0,right,right,curveball,ball_called,82.80586,2245.888294,7:00,5.51094,2.27602,4.955749999999999,-52.57816,-9.94626,-7.770440000000001,3.21823,0.86371,0.457861065864563,681393.0,,,681393.0,,,,,,,,,,PrinceGeorge
caf6af39-0905-4154-b624-65dd3c38c89c,player_a,4,4,5,2,1,2.0,right,right,four_seam,strike_swinging,94.63893,2515.8518059999997,1:15,5.53184,2.4009,5.87765,-16.80085,14.70802,11.65935,2.53131,0.04875,0.950125515460968,682657.0,,,,,,,,,,,,,CanalPark
2f414fd9-c71a-414b-9317-0efec9f74a4d,player_a,3,1,3,0,0,0.0,right,right,four_seam,ball_called,92.57841099999999,2716.764889,1:45,5.578036,2.3723929999999998,5.973965,-17.755396,14.907641,6.018607,4.466658,-0.446893,0.0017483881674706936,671276.0,672832.0,,671276.0,672832.0,,,,,,,,,The Diamond
32ba9b2c-8922-4a53-8d0c-b2094a8ab213,player_a,4,2,1,2,1,0.0,left,right,four_seam,foul_ball,93.84095,2533.403508,1:30,5.49395,2.74447,5.4895000000000005,-18.22128,14.11995,13.25364,1.56174,0.01093,0.4536118805408478,677588.0,,,,,,,foul_ball,-105.220404,69.90306,33.039351,,,CanalPark
e812027b-0964-4c5a-9173-06fecafba48b,player_a,3,5,3,1,0,2.0,left,right,four_seam,ball_called,93.544422,2437.2298370000003,1:45,5.477385,2.018109,5.66442,-24.697031000000003,7.573616,10.008452,2.47421,-1.256366,0.025463176891207695,677588.0,,,,677588.0,,,,,,,,,The Diamond
0008a03a-8704-4ae1-bb51-95c530b51b56,player_a,5,2,1,1,0,1.0,right,right,slider,ball_called,83.51321999999999,2451.5865679999997,8:45,5.5001,2.02793,5.18576,-41.771789999999996,-0.57667,-12.67729,3.41269,1.13711,0.021837441250681877,,676667.0,666906.0,,676667.0,666906.0,,,,,,,,FNBField
